@relation 'jobstemp (3)-weka.filters.unsupervised.attribute.Remove-R1,2,3,7,8,9,10,11,15,20,21,22,23,24,25,26,27,28'

@attribute publish_date {10/01/2024,'il y a 2 jours','il y a 5 jours','il y a 6 jours','il y a 7 jours','il y a 8 jours','il y a 13 jours','il y a 14 jours','il y a 15 jours','il y a 16 jours','il y a 18 jours','il y a 19 jours','il y a 20 jours','il y a 21 jours','il y a 22 jours','il y a 23 jours','il y a 26 jours','il y a 27 jours','il y a 28 jours','il y a 29 jours','il y a 30 jours','il y a 33 jours','il y a 34 jours','il y a 35 jours','il y a 36 jours','il y a 37 jours','il y a 40 jours','il y a 41 jours','il y a 42 jours','il y a 43 jours','il y a 44 jours','il y a 46 jours','il y a 47 jours','il y a 48 jours','il y a 49 jours','il y a 50 jours','il y a 51 jours','il y a 54 jours','il y a 55 jours','il y a 56 jours','il y a 57 jours','il y a 58 jours','il y a 61 jours','il y a 119 jours','il y a 25 minutes','il y a 26 minutes','il y a 18 heures','il y a 19 heures','il y a 22 heures','il y a 1 jour','il y a 4 jours','il y a 1 semaine','il y a 2 semaines','il y a 3 semaines','il y a 4 semaines','il y a 1 mois'}
@attribute apply_date {09/03/2024,26/02/2024,08/03/2024,28/02/2024,18/02/2024,07/02/2024,16/01/2024,05/02/2024,05/03/2024,04/03/2024,03/03/2024,06/02/2024,02/03/2024,22/02/2024,14/02/2024,28/01/2024,21/02/2024,27/02/2024,30/01/2024,13/01/2024,20/01/2024,31/10/2024,25/02/2024,17/01/2024,21/01/2024,22/01/2024,15/01/2024,20/02/2024,01/02/2024,11/02/2024,19/02/2024,15/02/2024,23/01/2024,29/01/2024,13/02/2024,12/02/2024,08/02/2024,04/02/2024,27/01/2024,25/01/2024,24/01/2024,10/01/2024,14/01/2024,13/11/2030}
@attribute company_name {'intelcia its','orange business',null,tersea,'oceane consulting it maroc','société générale maroc',altados,welink,'excel management conseil','webhelp maroc','cnexia tech','cgi technologies et solutions maroc','giz maroc',hcltech,'alten maroc','eca assurances','yazaki morocco','bouygues construction it','orh assessment','dxc technology maroc','euro information direct service','leet initiative','aria tech',capgemini,'bank assafa','emirates airlines','université internationale de rabat (uir)','um6p - université mohammed vi polytechnique','deloitte extended services','groupe afma',atlanse,'econocom maroc','sofrecom maroc','université euro-méditerranéenne de fès',bricoma,'manpower agences','colibri services','axa rabat (axa services)',intelcia,innovx,'ipanema consulting','akkodis maroc','axa group operations maroc',ingenius,'sopra steria spain',ciprotec,'air arabia','eczacibasi (ecp maroc)','y stratégie','excellium carrières',e-medias,'si claire','univers rh groupe omf','job developpement','ms project & developpement',ttam,'cpa cs','cpa maroc','les mandarins maroc','skynet alliances','axelliances consulting',msb,'oxo . com','direct performance','czar groupe','lmh call','kocc médias',werecrut,'dubos isabelle forever','celyins assurances','elsayed service',foxassursuccursale,'co managers','réseau guide emploi','phenix assurances',eigenvalue,'le call','ipsum consulting services','net courtage assurance','atires partners','2ca business','golden gate group',profficiis,'ag solutions','ads glory','concept assur',here2help,addwork,'ste anonyme','hnbc groupe succursale','sync team',prevas,'ensure call','speed tarif',allowin,'pcs assure',gwm,terrain360,'ecs informatique',anonyme,aksam,'recrut call','atlantic talent','master kids','top class espresso',idc,'elc assurances group','2 ya tek service',copmart,'ferja assur','eids maroc',maroskin,sgm2i,'m2k sourcing','zenith assurance maroc','arcanes technologies','vita way','haya assurances','sehi maroc',assurance,'consilium recrutement',marocadre,itfacto,'expert business unit','inter courtage','mh group',plfsarl,cbo,clientmarketing,careersinmorocco}
@attribute city {rabat,casablanca,le,kénitra,marrakech,autres,fès,tanger,'casablanca / marrakech','rabat / salé / kenitra / temara / casablanca / mohammedia',meknes,mohammedia,'fes / rabat / casablanca','meknes / fes / marrakech / agadir','casablanca / mohammedia','rabat / casablanca','rabat / salé / kenitra / temara / mohammedia',kenitra,'meknes / fes / tanger / tetouan / oujda / nador / berkane / taza / rabat / salé / kenitra / temara / khouribga / beni-mellal / casablanca / mohammedia / el jadida / marrakech / safi / agadir / laâyoune','fes / marrakech / agadir','rabat / salé / temara / casablanca / mohammedia','rabat / salé / marrakech','meknes / fes / tanger / oujda / taza / ifrane / rabat / salé / kenitra / temara / khouribga / beni-mellal / casablanca / mohammedia / bouskoura / el jadida / azemmour / bouznika / marrakech / safi / agadir',salé,'meknes / fes / rabat / salé / kenitra','rabat / salé / kenitra / temara / casablanca / mohammedia / bouznika',agadir,'rabat / salé / kenitra / temara','fes / tanger / tetouan / oujda / nador / rabat / casablanca / marrakech / agadir','rabat / salé / kenitra / temara / casablanca / mohammedia / marrakech',temara,'rabat / kenitra / temara / casablanca','meknes / fes / rabat / salé / kenitra / temara / casablanca / mohammedia / el jadida / marrakech',fes,berrechid,'meknes / fes / salé / kenitra'}
@attribute region {maroc,'émirats arabes unis',france,espagne,marrakech,'casablanca / marrakech',rabat,casablanca,'rabat / salé / kenitra / temara / casablanca / mohammedia',meknes,mohammedia,'fes / rabat / casablanca','meknes / fes / marrakech / agadir','casablanca / mohammedia',tanger,'rabat / casablanca','rabat / salé / kenitra / temara / mohammedia',kenitra,'meknes / fes / tanger / tetouan / oujda / nador / berkane / taza / rabat / salé / kenitra / temara / khouribga / beni-mellal / casablanca / mohammedia / el jadida / marrakech / safi / agadir / laâyoune','fes / marrakech / agadir','rabat / salé / temara / casablanca / mohammedia','rabat / salé / marrakech','meknes / fes / tanger / oujda / taza / ifrane / rabat / salé / kenitra / temara / khouribga / beni-mellal / casablanca / mohammedia / bouskoura / el jadida / azemmour / bouznika / marrakech / safi / agadir',salé,'meknes / fes / rabat / salé / kenitra','rabat / salé / kenitra / temara / casablanca / mohammedia / bouznika',agadir,'rabat / salé / kenitra / temara','fes / tanger / tetouan / oujda / nador / rabat / casablanca / marrakech / agadir','rabat / salé / kenitra / temara / casablanca / mohammedia / marrakech',temara,'rabat / kenitra / temara / casablanca','meknes / fes / rabat / salé / kenitra / temara / casablanca / mohammedia / el jadida / marrakech',fes,berrechid,'meknes / fes / salé / kenitra'}
@attribute sector {'informatique / electronique - secteur informatique','informatique / electronique - télécoms / réseaux - secteur informatique - telecom','informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia','informatique / electronique - secteur informatique -','informatique / electronique - secteur banque / finance - informatique','informatique / electronique - secteur banque / finance','informatique / electronique - télécoms / réseaux - secteur banque / finance - informatique','informatique / electronique - secteur informatique - telecom','informatique / electronique - secteur telecom','informatique / electronique - télécoms / réseaux - secteur banque / finance -','informatique / electronique - multimédia / internet - secteur banque / finance - informatique','informatique / electronique - télécoms / réseaux - secteur informatique','informatique / electronique - secteur informatique - internet / multimédia','informatique / electronique - multimédia / internet - secteur conseil / etudes - service public / administration','informatique / electronique - multimédia / internet - secteur banque / finance','informatique / electronique - multimédia / internet - secteur informatique','informatique / electronique - multimédia / internet - secteur informatique -','informatique / electronique - secteur assurance / courtage - autres services','informatique / electronique - secteur telecom -','informatique / electronique - banque (métiers de la) - secteur banque / finance','informatique / electronique - multimédia / internet - secteur automobile / motos / cycles -','informatique / electronique - secteur informatique - service public / administration','informatique / electronique - multimédia / internet - secteur offshoring / nearshoring','informatique / electronique - multimédia / internet - secteur centre d appel - informatique','informatique / electronique - secteur enseignement / formation -','informatique / electronique - gestion projet / etudes / r&d - secteur informatique -','informatique / electronique - multimédia / internet - secteur informatique - offshoring / nearshoring','informatique / electronique - secteur autres services - banque / finance','informatique / electronique - gestion projet / etudes / r&d - secteur agriculture / environnement -','informatique / electronique - secteur enseignement / formation','informatique / electronique - télécoms / réseaux - secteur informatique -','informatique / electronique - secteur internet / multimédia','informatique / electronique - secteur internet / multimédia -','informatique / electronique - multimédia / internet - secteur agence pub / marketing direct - enseignement / formation','informatique / electronique - télécoms / réseaux - secteur audiovisuel - informatique','informatique / electronique - télécoms / réseaux - secteur distribution - ameublement / décoration','informatique / electronique - multimédia / internet - secteur autres industries','informatique / electronique - secteur automobile / motos / cycles','informatique / electronique - secteur informatique - autres services','informatique / electronique - multimédia / internet - secteur enseignement / formation','informatique / electronique - secteur immobilier / promoteur / agence','informatique / electronique - secteur conseil / etudes','informatique / electronique - secteur centre d appel','informatique / electronique - secteur energie -','informatique / electronique - secteur electronique -','informatique / electronique - télécoms / réseaux - secteur agriculture / environnement -','informatique / electronique - télécoms / réseaux - secteur informatique - internet / multimédia','informatique / electronique - call centers (métiers de) - secteur informatique -','informatique / electronique - secteur autres industries - informatique','informatique / electronique - marketing - secteur distribution - autres industries','informatique / electronique - banque (métiers de la) - secteur informatique -','informatique / electronique - multimédia / internet - secteur informatique - telecom','informatique / electronique - télécoms / réseaux - secteur energie -','informatique / electronique - secteur distribution - autres industries','informatique / electronique - commercial / vente / export - secteur recrutement / intérim -','centres d appels',autres,'transport / manutention / logistique',assurance,'comptabilité / gestion / audit','education / enseignement / formation','franchise / santé','informatique / internet / multimedia','grande distribution','industrie alimentaire / agroalimentaire','centres d appels / conseil / consulting / assurance / santé / télécommunications',télécommunications,'banque / organisme financier','banque / organisme financier / centres d appels / conseil / consulting / assurance','industrie métallurgique','tourisme / hôtellerie / restauration','recrutement / intérim','centres d appels / assurance','conseil / consulting','publicité / communication','industrie automobile',franchise,'industrie textile'}
@attribute contract_type {cdi,freelance,cdd,autre,stage,'free lance','cdi / cdd / free lance','cdd / free lance / intérim / lettre d engagement','cdi / free lance','lettre d engagement','cdi / cdd / free lance / intérim / lettre d engagement',intérim,'cdi / cdd'}
@attribute education_level {'bac +5 et plus minimum','bac +5 et plus','bac +3 minimum','bac +2 minimum','bac +3','bac +4 minimum','autodidacte minimum','bac +5 et plus maximum','bac +3 maximum',bac+2,français,'bac+5 et plus',bac+3,'bac+2 / bac+3',bac,'bac / bac+1 / bac+2','bac / bac+1 / bac+2 / bac+3 / bac+4','niv bac et moins / bac / bac+1 / bac+2 / bac+3 / bac+4 / bac+5 et plus','niv bac et moins','bac / bac+1 / bac+2 / bac+3 / bac+4 / bac+5 et plus',bac+1,'bac / bac+1 / bac+2 / bac+3',bac+4,'bac / bac+1','bac+3 / bac+4 / bac+5 et plus',anglais,'bac+1 / bac+2 / bac+3 / bac+4'}
@attribute diploma {null,master,'ecole d ingénieur','formation spécialisée',autre,université,'doctorat / dea','bts / dut','formation professionnelle',bac+2,français,'bac+5 et plus',bac+3,'bac+2 / bac+3',bac,'bac / bac+1 / bac+2','bac / bac+1 / bac+2 / bac+3 / bac+4','niv bac et moins / bac / bac+1 / bac+2 / bac+3 / bac+4 / bac+5 et plus','niv bac et moins','bac / bac+1 / bac+2 / bac+3 / bac+4 / bac+5 et plus',bac+1,'bac / bac+1 / bac+2 / bac+3',bac+4,'bac / bac+1','bac+3 / bac+4 / bac+5 et plus',anglais,'bac+1 / bac+2 / bac+3 / bac+4'}
@attribute experience {null,'de 5 à 10 ans','de 10 à 20 ans','de 3 à 5 ans','de 1 à 3 ans','moins de 1 an','débutant (de 1 à 3 ans)','junior (de 3 à 5 ans)','fraichement diplômé / débutant (de 1 à 3 ans) / junior (de 3 à 5 ans)','fraichement diplômé / débutant (de 1 à 3 ans) / junior (de 3 à 5 ans) / senior (de 5 à 7 ans)','fraichement diplômé / débutant (de 1 à 3 ans) / junior (de 3 à 5 ans) / senior (de 5 à 7 ans) / confirmé (de 7 à 10 ans) / + 10 ans','débutant (de 1 à 3 ans) / junior (de 3 à 5 ans) / senior (de 5 à 7 ans) / confirmé (de 7 à 10 ans) / + 10 ans','senior (de 5 à 7 ans)','fraichement diplômé / débutant (de 1 à 3 ans)','fraichement diplômé','fraichement diplômé / débutant (de 1 à 3 ans) / junior (de 3 à 5 ans) / senior (de 5 à 7 ans) / confirmé (de 7 à 10 ans)','junior (de 3 à 5 ans) / senior (de 5 à 7 ans)','débutant (de 1 à 3 ans) / junior (de 3 à 5 ans)','débutant (de 1 à 3 ans) / junior (de 3 à 5 ans) / senior (de 5 à 7 ans)','confirmé (de 7 à 10 ans)','débutant (de 1 à 3 ans) / junior (de 3 à 5 ans) / senior (de 5 à 7 ans) / confirmé (de 7 à 10 ans)'}
@attribute remote {non,hybride,'oui 100\%'}

@data
'il y a 15 jours',13/01/2024,'orange business',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,hybride
'il y a 15 jours',26/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique -',stage,'bac +3 minimum',université,null,hybride
'il y a 15 jours',20/01/2024,null,casablanca,maroc,'informatique / electronique - télécoms / réseaux - secteur banque / finance -',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 16 jours',31/10/2024,null,rabat,maroc,'informatique / electronique - télécoms / réseaux - secteur informatique - telecom',stage,'bac +4 minimum','ecole d ingénieur',null,hybride
'il y a 16 jours',25/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur','de 5 à 10 ans',hybride
'il y a 16 jours',25/02/2024,'orange business',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 16 jours',25/02/2024,'orange business',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',master,'de 3 à 5 ans',hybride
'il y a 16 jours',25/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus maximum','ecole d ingénieur',null,hybride
'il y a 16 jours',05/02/2024,null,casablanca,maroc,'informatique / electronique - multimédia / internet - secteur informatique -',cdi,'bac +5 et plus minimum','doctorat / dea',null,hybride
'il y a 16 jours',16/01/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +3 minimum','ecole d ingénieur',null,hybride
'il y a 18 jours',22/02/2024,'emirates airlines',autres,'émirats arabes unis','informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +4 minimum',null,'de 5 à 10 ans',non
'il y a 18 jours',22/02/2024,'emirates airlines',autres,'émirats arabes unis','informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +4 minimum',null,'de 5 à 10 ans',non
'il y a 18 jours',22/02/2024,'emirates airlines',autres,'émirats arabes unis','informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +4 minimum',null,'de 5 à 10 ans',non
'il y a 19 jours',22/02/2024,null,fès,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',master,null,non
'il y a 19 jours',17/01/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus maximum',null,null,hybride
'il y a 19 jours',22/02/2024,'emirates airlines',autres,'émirats arabes unis','informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +4 minimum',null,'de 5 à 10 ans',non
'il y a 19 jours',22/02/2024,null,rabat,maroc,'informatique / electronique - gestion projet / etudes / r&d - secteur agriculture / environnement -',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,non
'il y a 19 jours',21/01/2024,null,rabat,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +3 maximum',null,'de 3 à 5 ans',hybride
'il y a 19 jours',22/01/2024,'bouygues construction it',casablanca,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',stage,'bac +5 et plus minimum','ecole d ingénieur',null,hybride
'il y a 19 jours',15/01/2024,'université internationale de rabat (uir)',rabat,maroc,'informatique / electronique - secteur enseignement / formation',cdi,'bac +5 et plus minimum',null,'de 3 à 5 ans',non
'il y a 19 jours',22/02/2024,'emirates airlines',autres,'émirats arabes unis','informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +4 minimum',null,'de 5 à 10 ans',non
'il y a 19 jours',22/02/2024,'emirates airlines',autres,'émirats arabes unis','informatique / electronique - multimédia / internet - secteur informatique',cdi,'bac +4 minimum',null,'de 5 à 10 ans',non
'il y a 19 jours',22/02/2024,'emirates airlines',autres,'émirats arabes unis','informatique / electronique - télécoms / réseaux - secteur informatique',cdi,'bac +4 minimum',null,'de 5 à 10 ans',non
'il y a 20 jours',21/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum',null,null,non
'il y a 20 jours',21/02/2024,'um6p - université mohammed vi polytechnique',marrakech,maroc,'informatique / electronique - secteur enseignement / formation',cdi,'bac +5 et plus minimum',null,null,non
'il y a 20 jours',21/02/2024,'um6p - université mohammed vi polytechnique',marrakech,maroc,'informatique / electronique - secteur enseignement / formation',cdi,'bac +5 et plus minimum',null,null,non
'il y a 20 jours',21/02/2024,null,casablanca,maroc,'informatique / electronique - secteur banque / finance',cdd,'bac +3 minimum',null,null,non
'il y a 21 jours',20/02/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,hybride
'il y a 21 jours',20/02/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 21 jours',20/02/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus maximum',null,null,hybride
'il y a 21 jours',20/02/2024,altados,tanger,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',null,null,non
'il y a 21 jours',20/02/2024,altados,casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',null,null,non
'il y a 21 jours',20/02/2024,altados,tanger,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',null,null,non
'il y a 21 jours',17/01/2024,null,rabat,maroc,'informatique / electronique - télécoms / réseaux - secteur informatique -',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 21 jours',06/02/2024,null,rabat,maroc,'informatique / electronique - secteur internet / multimédia',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 21 jours',06/02/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 21 jours',30/01/2024,null,rabat,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 21 jours',01/02/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus maximum',null,'de 10 à 20 ans',hybride
'il y a 21 jours',30/01/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique -',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 21 jours',11/02/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 21 jours',20/02/2024,'deloitte extended services',casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,hybride
'il y a 21 jours',20/02/2024,null,rabat,maroc,'informatique / electronique - secteur internet / multimédia -',cdi,'bac +5 et plus minimum',master,'de 3 à 5 ans',hybride
'il y a 22 jours',19/02/2024,'groupe afma',casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus',master,null,non
'il y a 22 jours',19/02/2024,tersea,le,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 22 jours',19/02/2024,null,casablanca,maroc,'informatique / electronique - secteur banque / finance - informatique',cdd,'bac +5 et plus minimum',master,null,hybride
'il y a 22 jours',19/02/2024,hcltech,rabat,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +3 minimum',null,null,non
'il y a 22 jours',19/02/2024,null,rabat,maroc,'informatique / electronique - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',master,'de 10 à 20 ans',hybride
'il y a 22 jours',19/02/2024,null,rabat,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 22 jours',19/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +3 minimum','bts / dut',null,non
'il y a 23 jours',18/02/2024,'cgi technologies et solutions maroc',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',null,null,non
'il y a 23 jours',18/02/2024,'orange business',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 23 jours',18/02/2024,'orange business',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,hybride
'il y a 23 jours',18/02/2024,'cgi technologies et solutions maroc',casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',null,null,non
'il y a 23 jours',18/02/2024,'deloitte extended services',casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',null,'de 1 à 3 ans',hybride
'il y a 23 jours',18/02/2024,atlanse,autres,france,'informatique / electronique - secteur banque / finance - informatique',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 23 jours',18/02/2024,hcltech,rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +2 minimum',null,null,non
'il y a 23 jours',18/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 26 jours',15/02/2024,'cgi technologies et solutions maroc',le,maroc,'informatique / electronique - télécoms / réseaux - secteur informatique',cdi,'bac +5 et plus',null,'de 10 à 20 ans',hybride
'il y a 26 jours',15/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +3 minimum','ecole d ingénieur',null,hybride
'il y a 26 jours',15/02/2024,'cgi technologies et solutions maroc',casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 26 jours',15/02/2024,null,rabat,maroc,'informatique / electronique - secteur internet / multimédia -',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 27 jours',14/02/2024,'eca assurances',casablanca,maroc,'informatique / electronique - télécoms / réseaux - secteur informatique -',cdi,'bac +4 minimum',null,null,non
'il y a 27 jours',14/02/2024,'université internationale de rabat (uir)',rabat,maroc,'informatique / electronique - multimédia / internet - secteur agence pub / marketing direct - enseignement / formation',cdi,'bac +3 minimum',null,'de 3 à 5 ans',non
'il y a 27 jours',23/01/2024,'orange business',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 27 jours',15/01/2024,'orange business',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 27 jours',29/01/2024,'orange business',rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,hybride
'il y a 27 jours',14/02/2024,'dxc technology maroc',casablanca,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +4 minimum',master,null,hybride
'il y a 27 jours',14/02/2024,'dxc technology maroc',rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 27 jours',14/02/2024,'econocom maroc',rabat,maroc,'informatique / electronique - multimédia / internet - secteur centre d appel - informatique',cdi,'bac +2 minimum','bts / dut',null,hybride
'il y a 28 jours',13/02/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',master,null,non
'il y a 28 jours',13/02/2024,null,rabat,maroc,'informatique / electronique - secteur internet / multimédia -',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 28 jours',13/02/2024,tersea,le,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +3 minimum',université,null,hybride
'il y a 29 jours',12/02/2024,null,rabat,maroc,'informatique / electronique - secteur internet / multimédia -',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 29 jours',12/02/2024,'sofrecom maroc',casablanca,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 29 jours',12/02/2024,'université euro-méditerranéenne de fès',fès,maroc,'informatique / electronique - télécoms / réseaux - secteur audiovisuel - informatique',cdi,'bac +2 minimum','bts / dut',null,non
'il y a 30 jours',28/01/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum',null,'de 5 à 10 ans',hybride
'il y a 30 jours',11/02/2024,bricoma,casablanca,maroc,'informatique / electronique - télécoms / réseaux - secteur distribution - ameublement / décoration',cdi,'bac +5 et plus minimum',master,null,non
'il y a 30 jours',11/02/2024,null,casablanca,maroc,'informatique / electronique - multimédia / internet - secteur banque / finance - informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,non
'il y a 30 jours',11/02/2024,null,casablanca,maroc,'informatique / electronique - multimédia / internet - secteur banque / finance - informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,non
'il y a 30 jours',11/02/2024,null,casablanca,maroc,'informatique / electronique - multimédia / internet - secteur banque / finance - informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,non
'il y a 30 jours',11/02/2024,null,rabat,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 30 jours',11/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 33 jours',08/02/2024,null,rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 34 jours',07/02/2024,tersea,le,maroc,'informatique / electronique - multimédia / internet - secteur informatique - internet / multimédia',cdi,'bac +5 et plus minimum',master,null,hybride
'il y a 35 jours',06/02/2024,null,rabat,maroc,'informatique / electronique - télécoms / réseaux - secteur informatique - telecom',cdi,'bac +5 et plus minimum','ecole d ingénieur','moins de 1 an',hybride
'il y a 35 jours',06/02/2024,null,rabat,maroc,'informatique / electronique - secteur informatique',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,hybride
'il y a 35 jours',06/02/2024,'manpower agences',casablanca,maroc,'informatique / electronique - multimédia / internet - secteur autres industries',cdi,'bac +5 et plus minimum',null,'de 10 à 20 ans',non
'il y a 35 jours',06/02/2024,welink,casablanca,maroc,'informatique / electronique - télécoms / réseaux - secteur informatique -',freelance,'bac +5 et plus minimum',master,'de 5 à 10 ans',hybride
'il y a 35 jours',06/02/2024,null,casablanca,maroc,'informatique / electronique - multimédia / internet - secteur informatique',stage,'bac +4 minimum',master,null,hybride
'il y a 35 jours',06/02/2024,'colibri services',casablanca,maroc,'informatique / electronique - multimédia / internet - secteur centre d appel - informatique',cdi,'bac +2 minimum','bts / dut',null,non
'il y a 36 jours',05/02/2024,'alten maroc',rabat,maroc,'informatique / electronique - secteur automobile / motos / cycles',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 36 jours',05/02/2024,'leet initiative',marrakech,maroc,'informatique / electronique - secteur enseignement / formation -',cdi,'autodidacte minimum',null,null,non
'il y a 36 jours',05/02/2024,'axa rabat (axa services)',rabat,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,non
'il y a 37 jours',21/01/2024,null,le,maroc,'informatique / electronique - multimédia / internet - secteur informatique -',cdi,'bac +2 minimum','formation professionnelle',null,non
'il y a 37 jours',04/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique - autres services',autre,'bac +5 et plus minimum',master,null,non
'il y a 37 jours',04/02/2024,null,casablanca,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum',null,null,hybride
'il y a 37 jours',04/02/2024,'sofrecom maroc',casablanca,maroc,'informatique / electronique - secteur informatique -',cdi,'bac +5 et plus minimum','ecole d ingénieur',null,hybride
